    events per second:   769.52
    events per second:  1026.22
    events per second:  1441.86
    events per second:  1883.56
    events per second:  2297.51
    events per second:  2706.76
    events per second:  3142.23
    events per second:  3573.42
    events per second:  4016.11
    events per second:  4438.96
    events per second:  4876.59
    events per second:  5272.04
    events per second:  5660.37
    events per second:  6155.29
    events per second:  6591.90
    events per second:  7017.60
    events per second:  7450.74
    events per second:  7821.39
    events per second:  7727.46
    events per second:  7478.00
    events per second:   788.53
    events per second:  1013.69
    events per second:  1450.83
    events per second:  1866.17
    events per second:  2281.53
    events per second:  2725.50
    events per second:  3137.97
    events per second:  3571.18
    events per second:  3995.39
    events per second:  4429.96
    events per second:  4865.48
    events per second:  5304.67
    events per second:  5733.60
    events per second:  6164.42
    events per second:  6585.71
    events per second:  7012.41
    events per second:  7457.39
    events per second:  7850.68
    events per second:  7748.49
    events per second:  7473.41
